match_tier,field_name,parcelnumb,unidata_scity,unidata_value,gpkg_value,comparison
pair,yearbuilt,01513016,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513017,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513021,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513022,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513024,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513025,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513026,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513029,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513030,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513031,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01513032,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01514001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514001,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01514002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514002,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514004,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514005,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514006,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514013,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514017,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01514018,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515004,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515005,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515010,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515011,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515012,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01515013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515013,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01515014,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515014,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01515015,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01515015,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01516005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516005,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01516006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516007,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516008,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01516011,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516011,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01516012,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01517004,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01517004,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01517006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01517006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518003,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518004,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01518005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518006,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518010,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518011,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01518012,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518012,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01518013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518013,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01518014,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518014,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01518015,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01518015,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01519001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519001,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519002,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519003,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519004,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01519005,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519005,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01519006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519006,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01519007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519008,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01519009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01519009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520001,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520004,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01520007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520007,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01520008,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520008,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01520009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520009,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520010,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520011,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520012,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01520013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520013,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520014,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520015,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01520017,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520017,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01520018,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521006,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521007,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521008,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521011,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521020,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521021,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01521022,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521022,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01521023,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521023,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01521024,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521024,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01521025,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01521025,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01522002,Alviso,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01522003,Alviso,[blank],,Unidata missing; GPKG empty
pair,address,01522006,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01522006,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01522007,San Jose,[blank],,Unidata missing; GPKG empty
pair,yearbuilt,01522007,San Jose,[blank],,Unidata missing; GPKG empty
pair,address,01522009,San Jose,[blank],,Unidata missing; GPKG empty
